,image_id,split,sat_image_path,mask_path
2988,524867,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/524867_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/524867_mask.png
72,110680,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/110680_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/110680_mask.png
5370,869652,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/869652_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/869652_mask.png
4394,73033,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/73033_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/73033_mask.png
2152,40682,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/40682_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/40682_mask.png
4055,682429,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/682429_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/682429_mask.png
2445,44825,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/44825_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/44825_mask.png
4522,749641,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/749641_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/749641_mask.png
5266,856549,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/856549_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/856549_mask.png
957,239044,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/239044_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/239044_mask.png
4311,718185,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/718185_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/718185_mask.png
1962,379173,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/379173_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/379173_mask.png
2486,454473,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/454473_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/454473_mask.png
1184,273679,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/273679_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/273679_mask.png
3996,673035,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/673035_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/673035_mask.png
818,222343,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/222343_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/222343_mask.png
